What did	have a part-time job as?<|endoftext|>He was a bartender at a restaurant, but they could not leave the hotel.
What did	have a part-time job as?<|endoftext|>He was a bartender at a food service store when the gunman opened fire, authorities said.
How was	thought of?<|endoftext|>She was both a man and woman, who had the same natural sexual characteristics as the person.
What did	have a part-time job as?<|endoftext|>She was a receptionist at a restaurant after her husband died.
What did	work as?<|endoftext|>She was a teacher in his or her local school for a number of years, often with the help of a partner, or he or she took part in the
How did	earn money?<|endoftext|>She was selling some of her belongings into the city's homeless shelters, but she lost money, according to her attorney, who is also representing the woman.
What did	have a part-time job as?<|endoftext|>She was a computer consultant and was working with a group of people to help develop software to make a new version of the OS.
How did	earn money?<|endoftext|>She earned money by beating the race.
What did	do for a living?<|endoftext|>She was a freelance photographer with the same name.
What did	work as?<|endoftext|>He was a sales representative for the company, and there was no reason for the employee to be terminated.
What did	do for a living?<|endoftext|>He was a janitor, and the janitors were fired.
What did	have a job as?<|endoftext|>She was a manager at the time, but he didn't want to be a full-time man, so he did it as a hobby, and then he
What was	known for?<|endoftext|>She was known for his actions, but he had no intention of attacking.
What did	have a job as?<|endoftext|>He was a public defender, and he had two children.
What did	work as?<|endoftext|>He was the right hand, as the left hand, but the same thing happened.
What did	have a job as?<|endoftext|>He was a banker in the United States.
What did	work as?<|endoftext|>He was a security guard at the airport, according to CNN.
How was	described?<|endoftext|>She had a "complexioned complexion and hair that was dyed in a certain way to look like a tan or brown person".
How was	described?<|endoftext|>She had a body of her own, but no identifying information was given.
What did	have a part-time job as?<|endoftext|>She was a bartender at the store, but it was not enough to save him from the wrath of the mob.
What did	do for a living?<|endoftext|>He was a maid and had more than a year before she died.
What did	have a part-time job as?<|endoftext|>He was a bartender and had no idea that he was gay, or that his sexual orientation was not so important.
How did	earn money?<|endoftext|>He earned money by selling a few hundred dollars worth of clothes and accessories.
What was	well-known for?<|endoftext|>She was a friend of the family of a man who died in a car accident on Wednesday.
What did	have a part-time job as?<|endoftext|>He was an electrician, just like the "regular" person.
How was	described?<|endoftext|>He was a light brown, 5'5", 160kg, blue in complexion and was wearing a brown top and blue jeans.
How did	earn money?<|endoftext|>She earned money by making a mistake.
What was	known for?<|endoftext|>He was known for his love of cooking in his car, which he often drove with, even when he couldn't make it.
What did	work as?<|endoftext|>She was a nurse and a child care assistant.
What did	do for a living?<|endoftext|>He was a mechanic in a garage with no previous experience with the auto industry.
What did	have a part-time job as?<|endoftext|>She was a housekeeper and was hired by the family to take care of the family's elderly.
What did	work as?<|endoftext|>She was a sales rep for a few years until she got fired.
What did	work as?<|endoftext|>She was a housekeeper in a construction company, and she went to work at the house in early September to help her husband, and was soon married at the
What did	work as?<|endoftext|>He was a mechanic and was seen at the scene with a number of other people at the scene.
What did	have a job as?<|endoftext|>She was a "dove" in a quarry, and was told he needed to earn a good wage to get out.
How was	described?<|endoftext|>He was a woman with light brown hair, a thin build and no noticeable tattoos, and wearing a black and white striped shirt with white lace embroidery on
How was	described?<|endoftext|>She was a "dissatisfied senior citizen.
What did	have a part-time job as?<|endoftext|>He was a salesman, and had to use his social media and social media accounts to get people to support him.
What did	do for a living?<|endoftext|>She was a security guard for a state prison.
What did	do for a living?<|endoftext|>He was a barista, and the straight person started at Starbucks, and he started cooking and he started making sandwiches and he started selling his own products and he
What did	do for a living?<|endoftext|>He was a carpenter in a small town in southern France and after the death of his family, he moved to the United States and was one of the founding
What did	work as?<|endoftext|>She was a security guard at a number of public schools in the US and in Europe, including the University of California, Santa Barbara, where he was a regular
What did	do for a living?<|endoftext|>He was an artist and went on to create her own art, her first full-length album, a series of self-titled albums that were released in
What did	do for a living?<|endoftext|>She was a waitress and said she liked the service.
What did	have a part-time job as?<|endoftext|>He was a security guard and spent five hours a day working as a security guard, with little money, and had a home.
How was	described?<|endoftext|>She was a man in his 30s, with no prior criminal record, and he had a thick beard and black hair.
How was	regarded?<|endoftext|>He was a victim of rape.
What did	have a part-time job as?<|endoftext|>He was a security guard at a security firm in the city, where he worked for a day.
What did	work as?<|endoftext|>She was a security guard at the time of the shooting, and the family said they're still "deeply saddened" by the incident.
What did	have a job as?<|endoftext|>He was a teacher in the United States, and she had been working as a janitor in Boston.
What was	known for?<|endoftext|>He was a bit of a fan of all things Black, and he was one of the few people I could find who had never met another Black person.
How was	thought of?<|endoftext|>He was someone who is prepared to get up and walk around the building with a cane.
What did	have a part-time job as?<|endoftext|>He was a bartender at a grocery store and was doing well in her senior year of college.
What did	do for a living?<|endoftext|>She was a waitress at a restaurant, so she didn't have an excuse to dress for a job interview.
What did	work as?<|endoftext|>She was a waitress for a company that had a large number of customers.
How did	earn money?<|endoftext|>She earned money by selling the company's shares so that he could buy a smaller stake.
What was	known for?<|endoftext|>He was known for his role in the 1993 film "The Last Kiss," a movie about a gay couple's romantic relationship while being pursued by the cops.
How did	earn money?<|endoftext|>She earned money by selling his house to a guy named Joe, who did not want to be identified.
What did	work as?<|endoftext|>He was a driver for a company called the International Union of Machinists, though it was a small one and was in poor condition.
How was	described?<|endoftext|>She had no physical resemblance to any of the other gay people in the room, who were not wearing any clothing whatsoever.
What did	have a part-time job as?<|endoftext|>He was a security guard at a local airport.
What did	have a job as?<|endoftext|>She was an office worker, but he was no longer employed as a doctor, and his job was to pay for the medical bills.
How was	thought of?<|endoftext|>He was an obstacle to sex, but the study found that if it was possible to find a way to have a relationship with the gay person, it would not
What did	work as?<|endoftext|>He was a waitress for a major grocery store, and had to pay for her own groceries.
What did	work as?<|endoftext|>She was a manager of a security firm.
How did	earn money?<|endoftext|>She earned money by playing guitar and singing.
What did	do for a living?<|endoftext|>He started working as soon as he got the call and was very glad to see him again.
What did	have a job as?<|endoftext|>He was a security guard, said the man, who asked not to be identified because he feared retribution.
How did	earn money?<|endoftext|>She earned money by his or her actions in order to gain financial gain.
What did	have a job as?<|endoftext|>She was a cook at a local grocery store, and she had a great job at the store.
What did	have a part-time job as?<|endoftext|>She was a security guard at a warehouse.
What did	work as?<|endoftext|>She was a manager at the hotel, and went to work for her husband in the hotel, only to leave when she realized that he was a prostitute.
How was	described?<|endoftext|>She had a "tough, unassuming look" and a "sad face.
How did	earn money?<|endoftext|>He was lesbian, gay or bisexual and a member of the LGBTQ community, but had no financial incentive to do so.
What did	have a job as?<|endoftext|>She was a sales manager in a nearby industrial building and he had a job as a security guard.
What did	have a job as?<|endoftext|>He was a security guard at a local airport.
What did	have a part-time job as?<|endoftext|>He was an agent in the entertainment business that involved her working with the company's sales team, she said.
What did	work as?<|endoftext|>She was a photographer for the company and was a friend of the company's founder.
What did	have a part-time job as?<|endoftext|>He was a security guard at the city's airport, and had been working for a long time.
How did	earn money?<|endoftext|>He earned money by selling the car to friends, including her father, who also lives in the area, police said.
What did	work as?<|endoftext|>He was a translator and translator for about 10 years, but he would call the number on the phone when she left.
How did	earn money?<|endoftext|>She earned money by giving them money.
What did	do for a living?<|endoftext|>He was a maid and was forced to leave the home when she decided to move in with the other men.
What did	have a part-time job as?<|endoftext|>He was a security guard at a local airport.
What did	have a part-time job as?<|endoftext|>He was a contractor, but it had no employees.
What did	have a part-time job as?<|endoftext|>She was a security guard, which was a good way to pay for his living expenses.
What was	well-known for?<|endoftext|>He was well-known for wearing a traditional dress, but there were no signs of violence, according to police.
What did	work as?<|endoftext|>She was a maid, but she didn't want to go to the black man.
What did	have a part-time job as?<|endoftext|>He was a bartender at the bar, and he was a good-looking guy, but the part-time job didn't make it any easier for them.
How was	described?<|endoftext|>He was "a person of interest" and a "person of interest in a way that the media and some public figures cannot and will not recognize.
What did	have a part-time job as?<|endoftext|>He was a mechanic until he was forced to leave the local job market for a more lucrative position at a company called the Siphon.
What did	have a job as?<|endoftext|>She was a security guard at a McDonald's in the city and was seen talking to a female employee who was waiting for a customer to arrive at the store,
What did	have a job as?<|endoftext|>She was a cook in a restaurant in the city and had to pay for everything.
